row,trial_type,target_stimulus,test_stimulus,target_blur,blur_rt,attention_probe,attention_delay,attention_duration,attention_rt,attention_response,trial_index,time_elapsed
205,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck0.png,7,174.095,down,4715.36,50,NULL,NULL,39,75582
206,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,4,182.17,up,4941.83,50,NULL,NULL,40,75766
207,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,6,165.49,none,4159.89,50,NULL,NULL,41,75934
208,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,7,182.215,down,4528.05,50,NULL,NULL,42,76118
209,jspsych-blurry-word,stimuli/look2.png,stimuli/look0.png,4,174.585,up,4361.71,50,NULL,NULL,43,76297
210,jspsych-blurry-word,stimuli/look0.png,stimuli/look0.png,6,156.275,none,4474.37,50,NULL,NULL,44,76455
211,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck2.png,3,166.445,none,5260.2,50,NULL,NULL,45,76624
212,jspsych-blurry-word,stimuli/long2.png,stimuli/long0.png,7,180.78,up,3670.43,50,NULL,NULL,46,76808
213,jspsych-blurry-word,stimuli/room2.png,stimuli/room2.png,4,181.33,down,3962.05,50,NULL,NULL,47,76992
214,jspsych-blurry-word,stimuli/want2.png,stimuli/want2.png,6,181.6,none,3614.68,50,NULL,NULL,48,77176
215,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead2.png,4,174.26,up,4269.06,50,NULL,NULL,49,77353
216,jspsych-blurry-word,stimuli/want2.png,stimuli/want0.png,6,174.32,down,4428.31,50,NULL,NULL,50,77529
217,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck0.png,6,180.95,up,4042.69,50,NULL,NULL,51,77713
218,jspsych-blurry-word,stimuli/long2.png,stimuli/long2.png,7,174.13,none,3275.92,50,NULL,NULL,52,77890
219,jspsych-blurry-word,stimuli/book0.png,stimuli/book0.png,4,181.065,down,3152.24,50,NULL,NULL,53,78074
220,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead2.png,4,221.92,up,3215.96,50,NULL,NULL,54,78298
221,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck0.png,4,181.98,none,4602.38,50,NULL,NULL,55,78482
222,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck0.png,6,181.505,down,4591.06,50,NULL,NULL,56,78666
223,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,3,206.445,up,5020.59,50,NULL,NULL,57,78875
224,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,6,165.185,up,3543.71,50,NULL,NULL,58,79043
225,jspsych-blurry-word,stimuli/look0.png,stimuli/look0.png,4,180.895,none,4265.48,50,NULL,NULL,59,79227
226,jspsych-blurry-word,stimuli/long0.png,stimuli/long2.png,6,182.055,none,3131.57,50,NULL,NULL,60,79411
227,jspsych-blurry-word,stimuli/want0.png,stimuli/want2.png,4,166.7,down,5679.71,50,NULL,NULL,61,79580
228,jspsych-blurry-word,stimuli/neck2.png,stimuli/neck2.png,3,197.965,none,4109.35,50,NULL,NULL,62,79781
229,jspsych-blurry-word,stimuli/want0.png,stimuli/want0.png,4,166.095,none,5556.39,50,NULL,NULL,63,79949
230,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead0.png,3,200.19,up,3486.61,50,NULL,NULL,64,80152
231,jspsych-blurry-word,stimuli/long2.png,stimuli/long2.png,4,164.985,none,5933.01,50,NULL,NULL,65,80320
232,jspsych-blurry-word,stimuli/dead0.png,stimuli/dead2.png,3,179.065,down,4925.86,50,NULL,NULL,66,80501
233,jspsych-blurry-word,stimuli/long0.png,stimuli/long0.png,7,214.11,up,4589.67,50,NULL,NULL,67,80718
234,jspsych-blurry-word,stimuli/long2.png,stimuli/long0.png,6,190.3,down,3767.46,50,NULL,NULL,68,80910
235,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck2.png,7,172.58,down,5825.62,50,NULL,NULL,69,81086
236,jspsych-blurry-word,stimuli/neck0.png,stimuli/neck0.png,3,205.56,none,5985.37,50,NULL,NULL,70,81295
237,jspsych-blurry-word,stimuli/dead2.png,stimuli/dead0.png,7,182.535,up,3766.23,50,NULL,NULL,71,81479
